SIGN;OPTION;LOW;HIGH
I;EQ;1000;
I;EQ;1001;
I;EQ;2000;
I;EQ;2010;
I;EQ;2011;
I;EQ;2020;
I;EQ;2030;
I;EQ;2040;
I;EQ;2041;
I;EQ;2042;
I;EQ;2050;
I;EQ;2060;
I;EQ;2070;
I;EQ;2080;
I;EQ;2081;
I;EQ;2090;
I;EQ;2100;
I;EQ;2110;
I;EQ;2120;
I;EQ;2130;
I;EQ;2140;
